#Counts(s),#Real temp,#Real temp,#Errors,#delay(50000)
0,91.75,364.9,1,
50,90.31,363.46,1,
100,88.87,362.02,1,
150,87.5,360.65,1,
200,86.12,359.27,1,
250,84.69,357.84,1,
300,83.62,356.77,1,
350,82.5,355.65,1,
400,81.5,354.65,1,
450,80.44,353.59,1,
500,79.5,352.65,1,
550,78.5,351.65,1,
600,77.62,350.77,1,
650,76.75,349.9,1,
700,75.87,349.02,1,
750,75.06,348.21,1,
800,74.31,347.46,1,
850,73.5,346.65,1,
900,72.81,345.96,1,
950,72.06,345.21,1,
1000,71.37,344.52,1,
1050,70.75,343.9,1,
1100,70.12,343.27,1,
1150,69.5,342.65,1,
1200,68.94,342.09,1,
1250,68.31,341.46,1,
1300,67.81,340.96,1,
1350,67.25,340.4,1,
1400,66.69,339.84,1,
1450,66.19,339.34,1,
1500,65.69,338.84,1,
1550,65.19,338.34,1,
1600,64.62,337.77,1,
1650,64.12,337.27,1,
1700,63.69,336.84,1,
1750,63.25,336.4,1,
1800,62.81,335.96,1,
1850,62.31,335.46,1,
1900,61.88,335.03,1,
1950,61.44,334.59,1,
2000,61.06,334.21,1,
2050,60.63,333.78,1,
2100,60.19,333.34,1,
2150,59.81,332.96,1,
2200,59.44,332.59,1,
2250,59.06,332.21,1,
2300,58.69,331.84,1,
2350,58.31,331.46,1,
2400,57.94,331.09,1,
2450,57.63,330.78,1,
2500,57.25,330.4,1,
2550,56.94,330.09,1,
2600,56.56,329.71,1,
2650,56.25,329.4,1,
2700,55.94,329.09,1,
2750,55.63,328.78,1,
2800,55.31,328.46,1,
2850,55,328.15,1,
2900,54.69,327.84,1,
2950,54.38,327.53,1,
3000,54.06,327.21,1,
3050,53.75,326.9,1,
3100,53.5,326.65,1,
3150,53.25,326.4,1,
3200,52.94,326.09,1,
3250,52.63,325.78,1,
3300,52.38,325.53,1,
3350,52.13,325.28,1,
3400,51.81,324.96,1,
3450,51.56,324.71,1,
3500,51.31,324.46,1,
3550,51.06,324.21,1,
3600,50.81,323.96,1,
3650,50.56,323.71,1,
3700,50.38,323.53,1,
3750,50.13,323.28,1,
3800,49.88,323.03,1,
3850,49.69,322.84,1,
3900,49.44,322.59,1,
3950,49.19,322.34,1,
4000,49,322.15,1,
4050,48.75,321.9,1,
4100,48.56,321.71,1,
4150,48.31,321.46,1,
4200,48.13,321.28,1,
4250,47.88,321.03,1,
4300,47.69,320.84,1,
4350,47.5,320.65,1,
4400,47.31,320.46,1,
4450,47.06,320.21,1,
4500,46.88,320.03,1,
4550,46.69,319.84,1,
4600,46.5,319.65,1,
4650,46.31,319.46,1,
4700,46.13,319.28,1,
4750,45.94,319.09,1,
4800,45.69,318.84,1,
4850,45.56,318.71,1,
4900,45.38,318.53,1,
4950,45.19,318.34,1,
5000,45,318.15,1,
5050,44.81,317.96,1,
5100,44.63,317.78,1,
5150,44.44,317.59,1,
5200,44.31,317.46,1,
5250,44.13,317.28,1,
5300,44,317.15,1,
5350,43.81,316.96,1,
5400,43.63,316.78,1,
5450,43.5,316.65,1,
5500,43.31,316.46,1,
5550,43.19,316.34,1,
5600,43,316.15,1,
5650,42.81,315.96,1,
5700,42.69,315.84,1,
5750,42.56,315.71,1,
5800,42.38,315.53,1,
5850,42.25,315.4,1,
5900,42.13,315.28,1,
5950,41.94,315.09,1,
6000,41.81,314.96,1,
6050,41.69,314.84,1,
6100,41.56,314.71,1,
6150,41.38,314.53,1,
6200,41.25,314.4,1,
6250,41.13,314.28,1,
6300,41,314.15,1,
6350,40.81,313.96,1,
6400,40.69,313.84,1,
6450,40.56,313.71,1,
6500,40.44,313.59,1,
6550,40.31,313.46,1,
6600,40.19,313.34,1,
6650,40.06,313.21,1,
6700,39.94,313.09,1,
6750,39.81,312.96,1,
6800,39.69,312.84,1,
6850,39.56,312.71,1,
6900,39.44,312.59,1,
6950,39.31,312.46,1,
7000,39.25,312.4,1,
7050,39.06,312.21,1,
7100,39,312.15,1,
7150,38.88,312.03,1,
7200,38.75,311.9,1,
7250,38.69,311.84,1,
7300,38.56,311.71,1,
7350,38.44,311.59,1,
7400,38.31,311.46,1,
7450,38.25,311.4,1,
7500,38.13,311.28,1,
7550,38,311.15,1,
7600,37.94,311.09,1,
7650,37.81,310.96,1,
