#Counts,#Real temp,#Real temp,#Errors
0,83.25,356.25,1
50,83,356,1
100,82.75,355.75,1
150,82.5,355.5,1
200,82.25,355.25,1
250,82,355,1
300,81.75,354.75,1
350,81.5,354.5,1
400,81.25,354.25,1
450,81.06,354.06,1
500,80.94,353.94,1
550,80.75,353.75,1
600,80.5,353.5,1
650,80.31,353.31,1
700,80.19,353.19,1
750,80,353,1
800,79.81,352.81,1
850,79.62,352.62,1
900,79.5,352.5,1
950,79.37,352.37,1
1000,79.19,352.19,1
1050,79.06,352.06,1
1100,78.81,351.81,1
1150,78.62,351.62,1
1200,78.44,351.44,1
1250,78.25,351.25,1
1300,78.12,351.12,1
1350,78,351,1
1400,77.75,350.75,1
1450,77.62,350.62,1
1500,77.44,350.44,1
1550,77.31,350.31,1
1600,77.06,350.06,1
1650,76.94,349.94,1
1700,76.75,349.75,1
1750,76.5,349.5,1
1800,76.31,349.31,1
1850,76.12,349.12,1
1900,76,349,1
1950,75.81,348.81,1
2000,75.62,348.62,1
2050,75.44,348.44,1
2100,75.31,348.31,1
2150,75.19,348.19,1
2200,75.06,348.06,1
2250,74.87,347.87,1
2300,74.81,347.81,1
2350,74.69,347.69,1
2400,74.5,347.5,1
2450,74.37,347.37,1
2500,74.25,347.25,1
2550,74.06,347.06,1
2600,74,347,1
2650,73.87,346.87,1
2700,73.75,346.75,1
2750,73.56,346.56,1
2800,73.37,346.37,1
2850,73.25,346.25,1
2900,73.12,346.12,1
2950,72.94,345.94,1
3000,72.81,345.81,1
3050,72.62,345.62,1
3100,72.5,345.5,1
3150,72.37,345.37,1
3200,72.25,345.25,1
3250,72.19,345.19,1
3300,72.06,345.06,1
3350,71.94,344.94,1
3400,71.81,344.81,1
3450,71.62,344.62,1
3500,71.5,344.5,1
3550,71.37,344.37,1
3600,71.25,344.25,1
3650,71.12,344.12,1
3700,71.06,344.06,1
3750,70.94,343.94,1
3800,70.81,343.81,1
3850,70.69,343.69,1
3900,70.56,343.56,1
3950,70.44,343.44,1
4000,70.31,343.31,1
4050,70.19,343.19,1
4100,70,343,1
4150,69.94,342.94,1
4200,69.81,342.81,1
4250,69.69,342.69,1
4300,69.5,342.5,1
4350,69.37,342.37,1
4400,69.31,342.31,1
4450,69.19,342.19,1
4500,69.06,342.06,1
4550,68.94,341.94,1
4600,68.81,341.81,1
4650,68.69,341.69,1
4700,68.56,341.56,1
4750,68.5,341.5,1
4800,68.37,341.37,1
4850,68.25,341.25,1
4900,68.19,341.19,1
4950,68.06,341.06,1
5000,67.94,340.94,1
5050,67.81,340.81,1
5100,67.69,340.69,1
5150,67.62,340.62,1
5200,67.5,340.5,1
5250,67.44,340.44,1
5300,67.37,340.37,1
5350,67.25,340.25,1
5400,67.12,340.12,1
5450,67.06,340.06,1
5500,67,340,1
5550,66.94,339.94,1
5600,66.81,339.81,1
5650,66.69,339.69,1
5700,66.56,339.56,1
5750,66.5,339.5,1
5800,66.37,339.37,1
5850,66.31,339.31,1
5900,66.19,339.19,1
5950,66.06,339.06,1
6000,65.94,338.94,1
6050,65.81,338.81,1
6100,65.69,338.69,1
6150,65.56,338.56,1
6200,65.44,338.44,1
6250,65.37,338.37,1
6300,65.19,338.19,1
6350,65.06,338.06,1
6400,65,338,1
6450,64.94,337.94,1
6500,64.81,337.81,1
6550,64.75,337.75,1
6600,64.62,337.62,1
6650,64.56,337.56,1
6700,64.5,337.5,1
6750,64.37,337.37,1
6800,64.31,337.31,1
6850,64.19,337.19,1
6900,64.12,337.12,1
6950,64.06,337.06,1
7000,63.94,336.94,1
7050,63.88,336.88,1
7100,63.81,336.81,1
7150,63.69,336.69,1
7200,63.63,336.63,1
7250,63.5,336.5,1
7300,63.44,336.44,1
7350,63.38,336.38,1
7400,63.25,336.25,1
7450,63.19,336.19,1
7500,63.06,336.06,1
7550,63,336,1
7600,62.94,335.94,1
7650,62.81,335.81,1
7700,62.75,335.75,1
7750,62.63,335.63,1
7800,62.56,335.56,1
7850,62.5,335.5,1
7900,62.38,335.38,1
7950,62.31,335.31,1
8000,62.25,335.25,1
8050,62.19,335.19,1
8100,62.06,335.06,1
8150,62,335,1
8200,61.94,334.94,1
8250,61.88,334.88,1
8300,61.75,334.75,1
8350,61.63,334.63,1
8400,61.56,334.56,1
8450,61.5,334.5,1
8500,61.38,334.38,1
8550,61.31,334.31,1
8600,61.25,334.25,1
8650,61.19,334.19,1
8700,61.13,334.13,1
8750,61.06,334.06,1
8800,60.94,333.94,1
8850,60.88,333.88,1
8900,60.81,333.81,1
8950,60.75,333.75,1
9000,60.63,333.63,1
9050,60.56,333.56,1
9100,60.5,333.5,1
9150,60.44,333.44,1
9200,60.31,333.31,1
9250,60.25,333.25,1
9300,60.19,333.19,1
9350,60.13,333.13,1
9400,60.06,333.06,1
9450,59.94,332.94,1
9500,59.88,332.88,1
9550,59.81,332.81,1
9600,59.75,332.75,1
9650,59.69,332.69,1
9700,59.63,332.63,1
9750,59.56,332.56,1
9800,59.44,332.44,1
9850,59.38,332.38,1
9900,59.31,332.31,1
9950,59.19,332.19,1
10000,59.13,332.13,1
10050,59.06,332.06,1
10100,59,332,1
10150,58.94,331.94,1
10200,58.88,331.88,1
10250,58.88,331.88,1
10300,58.81,331.81,1
10350,58.69,331.69,1
10400,58.69,331.69,1
10450,58.56,331.56,1
10500,58.5,331.5,1
10550,58.44,331.44,1
10600,58.38,331.38,1
10650,58.31,331.31,1
10700,58.25,331.25,1
10750,58.19,331.19,1
10800,58.06,331.06,1
10850,58,331,1
10900,57.94,330.94,1
10950,57.88,330.88,1
11000,57.81,330.81,1
11050,57.75,330.75,1
11100,57.69,330.69,1
11150,57.63,330.63,1
11200,57.63,330.63,1
11250,57.56,330.56,1
11300,57.5,330.5,1
11350,57.44,330.44,1
11400,57.38,330.38,1
11450,57.31,330.31,1
11500,57.25,330.25,1
11550,57.19,330.19,1
11600,57.13,330.13,1
11650,57.06,330.06,1
11700,57,330,1
11750,56.94,329.94,1
11800,56.88,329.88,1
11850,56.75,329.75,1
11900,56.69,329.69,1
11950,56.63,329.63,1
12000,56.56,329.56,1
12050,56.5,329.5,1
12100,56.5,329.5,1
12150,56.44,329.44,1
12200,56.38,329.38,1
12250,56.31,329.31,1
12300,56.19,329.19,1
12350,56.19,329.19,1
12400,56.06,329.06,1
12450,56.06,329.06,1
12500,56,329,1
12550,55.94,328.94,1
12600,55.81,328.81,1
12650,55.81,328.81,1
12700,55.69,328.69,1
12750,55.69,328.69,1
12800,55.63,328.63,1
12850,55.56,328.56,1
12900,55.5,328.5,1
12950,55.5,328.5,1
13000,55.44,328.44,1
13050,55.38,328.38,1
13100,55.31,328.31,1
13150,55.31,328.31,1
13200,55.19,328.19,1
13250,55.13,328.13,1
13300,55.13,328.13,1
13350,55,328,1
13400,55,328,1
13450,54.94,327.94,1
13500,54.88,327.88,1
13550,54.81,327.81,1
13600,54.75,327.75,1
13650,54.69,327.69,1
13700,54.69,327.69,1
13750,54.63,327.63,1
13800,54.56,327.56,1
13850,54.5,327.5,1
